"Ano do obito";"Regiao Norte";"Regiao Nordeste";"Regiao Sudeste";"Regiao Sul";"Regiao Centro-Oeste";"Total"
1996;1134;4611;21054;5559;1638;33996
1997;1054;4118;18597;4535;1730;30034
1998;1171;4970;19696;5058;1608;32503
1999;1315;4835;18286;4250;1508;30194
2000;1348;4871;17761;4100;1481;29561
2001;1510;4692;18352;4047;1601;30202
2002;1476;5079;20226;4084;1964;32829
2003;1689;5245;21359;4391;1836;34520
2004;2063;5608;23040;4713;2183;37607
2005;1989;5940;21139;4799;2186;36053
2006;1969;7064;25543;5586;2340;42502
2007;2287;7398;26317;5852;2639;44493
2008;2221;7931;26842;5761;2836;45591
2009;2534;9351;30692;7741;3208;53526
2010;2542;9310;32687;7343;3456;55338
2011;2679;11012;34049;8315;3677;59732
2012;3177;11270;35360;8106;3836;61749
2013;3462;13699;38564;9350;4048;69123
2014;3638;13582;40093;9523;4464;71300
2015;3909;16708;42438;9926;4654;77635
2016;4024;17715;45856;11681;4821;84097
2017;4027;17750;43769;10152;4248;79946
2018;4552;17984;43373;10406;4181;80496
2019;4740;19356;44299;10907;4903;84205
2020;5097;16369;34439;8084;4260;68249
2021;4980;15760;35359;7997;4091;68187
2022;5841;22653;44385;11493;5308;89680
2023;5692;20266;44631;10447;5498;86534
